dataset_name,adacapnetselu,regularnetglu,adacapnetglu,adacapnetresblock,CAT,regularnetstandard,adacapnetstandard,adacapnetfastselu,adacapnetbatchresblock,regularnetselu,adacapnetfast,regularnetresblock,regularnetfast,regularnetfastselu,RF,regularnetbatchresblock,adacapnetbatchstandard,XGBoost,LGBM,XRF,CATfast,xgb_sklearn,NuSVM,MARS,Enet,Lasso,regularnetbatchstandard,Ridge,Kernel,CART,Intercept
Optical Interconnection Network optical_interconnection_network.csv_task_R_target_7,0.11395991452115913,0.11683113268169443,0.12817884846556074,0.1095953606162225,0.08937269881557815,0.10575923283824107,0.11056985500354462,0.12582980357048912,0.11236061975776987,0.10928765366840307,0.10938126350900992,0.10547077273370338,0.10843342470785866,0.11962306664028044,0.12212102796993826,0.1098024276551309,0.11077293158712002,0.09864668929438276,0.10384632102343772,0.10618017557537948,0.11590124991071168,0.11258485313279058,0.10862111922481928,0.22058783332595092,0.21725316154309926,0.21752115847022663,0.2628697135828829,0.22142950737755268,0.21244390144870717,0.14906299185016242,1.0042161448736833
Optical Interconnection Network optical_interconnection_network.csv_task_R_target_8,0.24672767013206381,0.269972311189424,0.2509678670656962,0.25778040796337515,0.23876999775263802,0.2650966566874142,0.2556811537316993,0.2467045602359828,0.25458779794952124,0.25488007929927753,0.26306425314231846,0.26116248779394596,0.26875467546305787,0.2406706386588317,0.3238509831303071,0.2599940957928255,0.25890192975007176,0.29851361917489677,0.288588599269987,0.2867260924247449,0.28324190126099397,0.28209307635501935,0.2592245234494104,0.3438566039435708,0.35402542856735736,0.3519120866758754,0.3340613658985893,0.35366989697753,0.35061316924977676,0.41772997042752624,1.0067734954291976
Physicochemical Properties of Protein Tertiary StructureCASP.csv_task_R_target_6,0.15776105356664247,0.13224514929325354,0.13895791324695808,0.13683311696943637,0.14043522790261465,0.14244885643253746,0.14270653475523618,0.1815297281756771,0.16462641263696348,0.15899276853863223,0.15742900159316503,0.1460317050212945,0.16109158110296218,0.17655717107261476,0.13273188564009095,0.3389629797932507,0.19102490062237004,0.14374601308070162,0.1533614159809339,0.1270934239081192,0.19007443731731116,0.17708850518168517,0.16365806491325868,0.1941800725492368,0.1989595499741255,0.19873529052151678,0.15309557505400417,0.19594240565591592,0.19594134805864705,0.18757468976669348,1.000056351163174
QSAR Bioconcentration classes datasetGrisoni_et_al_2016_EnvInt88.csv_task_R_target_-1,0.4737722188236095,0.4794210543623622,0.46889537178973956,0.47191486313126363,0.4233382825844383,0.4787818659121382,0.471283050879545,0.4725471592127518,0.47399799758450073,0.4727847713530968,0.4741301709388597,0.4696285771897489,0.4811608088879895,0.48126664738858177,0.45126058139049546,0.48204148519725215,0.47148401558425296,0.4708889213781484,0.444897042928185,0.45151634882453245,0.43439319974778606,0.44013054810614866,0.4700904619067264,0.45874059977623033,0.4818340991971043,0.4819761043550977,0.514323964861009,0.48266719725288587,0.5160258737865213,0.621670013439722,1.0029602419192014
QSAR aquatic toxicityqsar_aquatic_toxicity.csv_task_R_target_-1,0.7356266758034289,0.7519629368805913,0.7780605418236728,0.7690685456529287,0.684959556566137,0.7456800636552423,0.7902839621412322,0.7405031823363846,0.7581424385941739,0.7322763560215696,0.7848310019386754,0.741896046201499,0.7429864714365918,0.7263098907973008,0.7178002709972306,0.7330906051616062,0.7465287785437896,0.7550285434598931,0.7173982723825867,0.7015447448797634,0.7071119710431565,0.7198378352142109,0.7203812543609402,0.7914213901170608,0.7467499709331131,0.7432306755054527,0.7453341995753238,0.7594592419581109,0.820637805833057,0.9491352744980487,1.0023860614695326
QSAR fish toxicityqsar_fish_toxicity.csv_task_R_target_-1,0.629031319391349,0.6560613270937774,0.6578600609579824,0.6532490041541872,0.595763962815611,0.64594672547434,0.6411746914427954,0.6385115127055052,0.6536762937463867,0.6396968006003279,0.6558827132192242,0.7615264798835601,0.6405944227575855,0.6385479903164357,0.6185183318556895,0.6396450161757068,0.6422914422785297,0.6572757962987237,0.6206729443384151,0.6312969950349638,0.6137140272658942,0.6236953979188139,0.6150458658486216,0.6407052910393842,0.6593344332830641,0.6592185401604567,0.6518444110988554,0.662515446532282,0.664232791443853,0.8380972404184901,1.0042915564755757
Seoul Bike Sharing DemandSeoulBikeData.csv_task_R_target_1,0.29372286853336166,0.29073608853165267,0.29995867322490055,0.30277682229687103,0.27626754165905437,0.2928666878595397,0.30025559222032316,0.3211331676673555,0.3108431523231412,0.3172105322979314,0.30689659804688896,0.294240362038512,0.3061529220617428,0.38877772798181903,0.2911674822951197,0.29001303064461087,0.4181368166061934,0.2874961508468103,0.28410249517713254,0.2813722157544014,0.32366945995874696,0.3175819210761511,0.39241706718952946,0.5120464746689957,0.5191537353991433,0.5191150858901926,0.30930599057465163,0.5195210970245603,0.5194362292281278,0.40128779980198814,1.0003864571284977
Servoservo.data_task_R_target_-1,0.3449415593071816,0.3468437041466973,0.36143283726354947,0.34504844571316096,0.32082604807773596,0.35541605204482,0.35550988062311684,0.35151522751886843,0.34633771191717405,0.3628035545640701,0.3638988480134933,0.35849825003962454,0.36111056581155576,0.34294883536309934,0.3297778033217901,0.3506944753991785,0.3521144832602795,0.32634709201512435,0.39069265449967533,0.4017127169390477,0.3423137665618505,0.32792529101620094,0.3634549675565331,0.3916540545223131,0.39682713235447453,0.3970081150095776,0.4677506407963913,0.3957464210762599,0.39351504349900573,0.41520926230703586,1.01417287973092
Yacht Hydrodynamicsyacht_hydrodynamics.data_task_R_target_-1,0.12107230680992662,0.11787030120883894,0.1095228090535415,0.11607936099370002,0.12557103494475358,0.11809350480125065,0.11953111288820953,0.13982922047014087,0.12089762483224209,0.12105071318712898,0.1205995283490269,0.13125198086228224,0.12818806388125395,0.15384124067973798,0.16176749028274148,0.18591314393190264,0.14979473066067184,0.12635750595370268,0.1888454641041915,0.15977735170144905,0.1385170329444247,0.12761478732115822,0.25305305092228436,0.1946307372625648,0.18893760370176008,0.18932877984924834,0.4126014473046803,0.19035828380798575,0.18958071888983544,0.16852320383277244,1.0109414422189766
arashnic_marketing-seris-customer-lifetime-valuesquark_automotive_CLV_training_data.csv_task_R_target_2,0.3935600567192764,0.3996898474315641,0.3983825114772185,0.4048859542371446,0.4225298309568967,0.4074936871438265,0.4000393999477647,0.3952207109651609,0.40545154712413367,0.39864298364860484,0.4007247488392964,0.402622433624677,0.39944493746054527,0.393677183088485,0.420327596564851,0.4064642067189331,0.39918079459659406,0.4686553485795515,0.419799872461142,0.4492263268232626,0.39795425495038195,0.3903563776626629,0.4031594388080383,0.47826935598470505,0.4745731808270655,0.47455028893644985,0.4011646122292495,0.47448511349829114,0.47417002962798155,0.5538807111763171,1.0019255633126558
harlfoxem_housesalespredictionkc_house_data.csv_task_R_target_2,0.6790832765607878,0.678760587940534,0.680482160660208,0.6801681391236838,0.6822166015625982,0.6796853055085148,0.6787643548468328,0.6804810380865371,0.6794112741376421,0.6798323373280848,0.6785967511967745,0.6798141293933575,0.6802746571179507,0.6820199573076594,0.6819113567171493,0.6800182704537676,0.6823671869948496,0.6837647675602141,0.6789859750288978,0.6834786906135437,0.6776470844816724,0.6785905720490374,0.6814476683305974,0.7544216917625418,0.7653996486848118,0.7652565730506955,0.6808218436078164,0.7652222309352263,0.7651787959033804,0.6837062939529754,1.0001918903821172
how-much-did-it-rain-iitrain_task_R_target_-1,0.6490601966922278,0.6616809314280964,0.6515010096561659,0.6555340215565479,0.6317490859787842,0.6492163380217473,0.6490467900986907,0.6520139600010921,0.6539286804628495,0.6507386160578913,0.65248618583408,0.6552830850729728,0.6548141239207814,0.6645010767430607,0.6708341928820534,0.6475180058319252,0.6479360772112822,0.6694857541658417,0.631726356250574,0.8189283835569897,0.6188649395172471,0.6169087386493766,0.6679750047025713,0.6268159984171044,0.6257013215431715,0.6252504341433307,0.6494265080933224,0.6435570943371323,0.6972340603185216,0.8522602936221272,1.00052634379036
mercedes-benz-greener-manufacturingtrain.csv_task_R_target_1,0.31650119297880874,0.33396920303892436,0.3247752470947647,0.3338631125242909,0.3104891887464179,0.337617409570557,0.32860870197451797,0.31795240028945787,0.3304044603454155,0.3229711572945059,0.3318208690981849,0.33986573206485693,0.35054345194099507,0.31738712650409423,0.3013860032406752,0.3327356835496048,0.3285290182578816,0.326179880005895,0.307087004692042,0.31371575398028656,0.3158626257029911,0.31183710707417817,0.3568409860600741,0.3219447406125776,0.3210782956990041,0.321078122980912,0.3346998199193517,0.3213774702250528,0.32126150637391515,0.4181456823773909,1.0007283956551605
mirichoi0218_insuranceinsurance.csv_task_R_target_-1,0.9878993041250881,1.0026771030294286,1.0652498218868804,0.9800947186425212,0.9988319048749139,1.0178163764725174,1.0171449529958871,1.0081407633292852,0.9778529811651353,1.0099292714442485,0.9911070881073709,1.0416705436962246,0.9932709984892332,0.9971773566985007,1.0070290046486927,0.9974970156855989,1.0158025334121619,1.1231720710366506,1.0327359585920433,1.3149207352174896,0.9915126594090417,1.1115381750649225,0.9574682282341651,1.1336369058581572,1.0211246795275701,1.0278207411803724,0.997442423876709,1.3502116643489395,2.1157865574973154,1.460822521345191,1.021133559767422
wiki4HEwiki4HE.csv_task_R_target_-10,0.5856565042585933,0.5663773873376425,0.5616467940857145,0.5565895314899547,0.4828846981217724,0.5585682056798758,0.5607047329624083,0.5883207600248926,0.5736580641082581,0.5888859066223195,0.5670477699007626,0.5632888488580275,0.5612394369445152,0.5973726830892566,0.4946861781342976,0.5641286106853215,0.5668834200065688,0.5308877228253948,0.5045681662144607,0.6158231111223178,0.4998735494157499,0.4943341915088572,0.5916799689833735,0.5062724467343704,0.4740921867567878,0.47419024644467783,0.5621093494812456,0.5842251884792822,0.6363924670441816,0.6690685325561541,1.0037755690141783
wiki4HEwiki4HE.csv_task_R_target_-11,0.6142139209015828,0.5944370046565475,0.5841627256433847,0.5810789673331749,0.523309946432178,0.580785034707384,0.592593746605738,0.6195200495545492,0.5877893627446591,0.6175221932272802,0.607238021364926,0.5756574982752611,0.5897309112757193,0.614154204595202,0.5268988594808669,0.5806353531683937,0.6031001821947888,0.5455349537428081,0.5439685204498474,0.6457834088693357,0.5430049159571387,0.5177910339699305,0.6060383906587108,0.5545954031248072,0.5195437615225048,0.519620388793433,0.5974117289785914,0.6223786721699525,0.6559271754573632,0.7098982522802166,1.00142208683614
